,Host,Ecotype 1,Ecotype 2,Ecotype 3,,
0,Passeriformes,0,2,0,,G = 101.72
1,Culex pipiens,0,1,10,,X-squared df = 36
2,Accipiter gentilis,0,0,4,,p-value = 3.469e-08
3,Corvus frugilegus,1,0,0,,
4,Aves,0,0,1,,
5,Passer domesticus,0,1,0,,
6,Falco,0,0,1,,
7,Homo sapiens,2,11,44,,
8,Corvus corone cornix,3,0,0,,
9,Pica pica,1,0,0,,
10,Anopheles messeae,2,0,0,,
11,Equus caballus,0,2,3,,
12,Corvidae,0,3,0,,
13,Columba livia,1,0,0,,
14,Culicidae,0,0,2,,
15,Laridae,0,1,0,,
16,Hyalomma marginatum,2,0,1,,
17,Aquila chrysaetos,0,2,0,,
18,Phalacrocorax carbo,4,0,0,,
,,16,23,66,105,
