,Host,Family,Ecotype 1,Ecotype 2,Ecotype 3,,
0,"Accipiter gentilis, Aquila chrysaetos",Accipitridae,0,2,4,,"G = 67.546, X-squared df = 22, p-value = 1.6e-06"
1,Columba livia,Columbidae,1,0,0,,
2,"Corvus corone cornix, Pica pica, Corvidae, Corvus frugilegus",Corvidae,5,3,0,,
3,"Culicidae, Culex pipiens, Anopheles messeae",Culicidae,2,1,12,,
4,Equus caballus,Equidae,0,2,3,,
5,Falco,Falconidae,0,0,1,,
6,Homo sapiens,Hominidae,2,11,44,,
7,Hyalomma marginatum,Ixodidae,2,0,1,,
8,Laridae,Laridae,0,1,0,,
9,Passer domesticus,Passeridae,0,1,0,,
10,Phalacrocorax carbo,Phalacrocoracidae,4,0,0,,
11,"Aves, Passeriformes",Aves,0,2,1,,
,,,16,23,66,105,
