


 CLUSTAL 2.1 Multiple Sequence Alignments


Sequence type explicitly set to DNA
Sequence format is Pearson
Sequence 1: lcl|JQ308187.1_cds_AFE86158.1_1 10092 bp
Sequence 2: KC407673                        11028 bp
Sequence 3: FJ766332                        10961 bp
Sequence 4: DQ116961                        11028 bp
Sequence 5: DQ164204                        11029 bp
Sequence 6: KJ501374                        10979 bp
Sequence 7: KJ501462                        10953 bp
Sequence 8: KJ501328                        10951 bp
Sequence 9: FJ766331                        10960 bp
Sequence 10: MF984344                        11024 bp
Sequence 11: KJ501306                        10992 bp
Sequence 12: KF179640                        10998 bp
Sequence 13: KJ501486                        11031 bp
Sequence 14: KJ501515                        10979 bp
Sequence 15: KJ501331                        10960 bp
Start of Pairwise alignments
Aligning...

Sequences (1:2) Aligned. Score:  13
Sequences (1:3) Aligned. Score:  13
Sequences (1:4) Aligned. Score:  13
Sequences (1:5) Aligned. Score:  13
Sequences (1:6) Aligned. Score:  13
Sequences (1:7) Aligned. Score:  13
Sequences (1:8) Aligned. Score:  13
Sequences (1:9) Aligned. Score:  13
Sequences (1:10) Aligned. Score:  13
Sequences (1:11) Aligned. Score:  13
Sequences (1:12) Aligned. Score:  13
Sequences (1:13) Aligned. Score:  13
Sequences (1:14) Aligned. Score:  13
Sequences (1:15) Aligned. Score:  13
Sequences (2:3) Aligned. Score:  79
Sequences (2:4) Aligned. Score:  99
Sequences (2:5) Aligned. Score:  79
Sequences (2:6) Aligned. Score:  79
Sequences (2:7) Aligned. Score:  79
Sequences (2:8) Aligned. Score:  79
Sequences (2:9) Aligned. Score:  79
Sequences (2:10) Aligned. Score:  99
Sequences (2:11) Aligned. Score:  79
Sequences (2:12) Aligned. Score:  99
Sequences (2:13) Aligned. Score:  79
Sequences (2:14) Aligned. Score:  79
Sequences (2:15) Aligned. Score:  79
Sequences (3:4) Aligned. Score:  79
Sequences (3:5) Aligned. Score:  96
Sequences (3:6) Aligned. Score:  96
Sequences (3:7) Aligned. Score:  96
Sequences (3:8) Aligned. Score:  96
Sequences (3:9) Aligned. Score:  99
Sequences (3:10) Aligned. Score:  79
Sequences (3:11) Aligned. Score:  96
Sequences (3:12) Aligned. Score:  79
Sequences (3:13) Aligned. Score:  96
Sequences (3:14) Aligned. Score:  96
Sequences (3:15) Aligned. Score:  96
Sequences (4:5) Aligned. Score:  79
Sequences (4:6) Aligned. Score:  79
Sequences (4:7) Aligned. Score:  79
Sequences (4:8) Aligned. Score:  79
Sequences (4:9) Aligned. Score:  79
Sequences (4:10) Aligned. Score:  99
Sequences (4:11) Aligned. Score:  79
Sequences (4:12) Aligned. Score:  99
Sequences (4:13) Aligned. Score:  79
Sequences (4:14) Aligned. Score:  79
Sequences (4:15) Aligned. Score:  79
Sequences (5:6) Aligned. Score:  99
Sequences (5:7) Aligned. Score:  99
Sequences (5:8) Aligned. Score:  99
Sequences (5:9) Aligned. Score:  96
Sequences (5:10) Aligned. Score:  79
Sequences (5:11) Aligned. Score:  99
Sequences (5:12) Aligned. Score:  79
Sequences (5:13) Aligned. Score:  99
Sequences (5:14) Aligned. Score:  99
Sequences (5:15) Aligned. Score:  99
Sequences (6:7) Aligned. Score:  99
